LastUpdateDT,UNIT,COMPANY_CODE,COMPANY_REGION_SRC,PROFIT_CENTER_CODE,COST_CENTER_CODE,GL_ACCOUNT_CODE,FE_CODE,FE_PRACTICE_GROUP_CODE,FE_OFFICE_CODE,FE_TEAM_CODE,LEAD_PARTNER_CODE,LEAD_PARTNER_PRACTICE_GROUP_CODE,LEAD_PARTNER_OFFICE_CODE,LEAD_PARTNER_TEAM_CODE,MATTER_CODE,VENDOR_CODE,DOCUMENT_TEXT,DOCUMENT_DATE,DOCUMENT_NUMBER,DOCUMENT_TYPE_CODE,POSTING_PERIOD,POSTING_DATE,DOCUMENT_CURRENCY_CODE,ACTUAL_AMOUNT_DC,OFFICE_CURRENCY_CODE,ACTUAL_AMOUNT_OC,GROUP_CURRENCY_CODE,ACTUAL_AMOUNT_GC,BUDGET_AMOUNT_GC,FORECAST_AMOUNT_GC
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1DR1754,4000000000,,DR,OTT1,1754,144471,CS,VAN1,1501,1001365369,#,#,20260212,9090840678,RV,202602,20260212,CAD,3861,CAD,3861,USD,2918.6541,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1IP2253,4000000000,,IP,TOR1,2253,103815,IP,VAN1,2253,1001331535,#,#,20260226,9090844968,RV,202602,20260226,CAD,330,CAD,330,USD,249.4576,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1CS1501,4000000000,,CS,CAL1,1501,102627,CS,TOR1,1501,1000160408,#,#,20260220,9090843163,RV,202602,20260220,CAD,150,CAD,150,USD,113.3898,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1NANA,6150000000,,NA,MTR1,NA,102649,CS,QUE1,1501,1001375567,#,#,20260213,9090840913,RV,202602,20260213,CAD,-25,CAD,-25,USD,-18.8983,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1EL2000,4000000000,,EL,MTR1,2000,102879,EL,MTR1,2000,1001228260,#,#,20260226,9090844767,RV,202602,20260226,CAD,1709.5,CAD,1709.5,USD,1292.2661,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1EL2000,4000000000,,EL,MTR1,2000,102628,EL,MTR1,2000,1001370428,#,#,20260225,9090844256,RV,202602,20260225,CAD,214.5,CAD,214.5,USD,162.1475,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1EL2000,4000000000,,EL,TOR1,2000,102960,CS,TOR1,1501,1001161814,#,#,20260226,9090844820,RV,202602,20260226,CAD,225,CAD,225,USD,170.0847,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1NANA,6150000000,,NA,MTR1,NA,144345,DR,VAN1,1754,1001376756,#,#,20260226,9090844829,RV,202602,20260226,CAD,-25,CAD,-25,USD,-18.8983,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1NANA,6150000000,,NA,MTR1,NA,102175,DR,QUE1,1754,1001377775,#,#,20260225,9090844555,RV,202602,20260225,CAD,-25,CAD,-25,USD,-18.8983,0,0
30/03/2026,Actual,CA11,NRFC,QUE1,QUE1BF1250,4000000000,,BF,QUE1,1250,102947,BF,QUE1,1250,1001377767,#,#,20260223,9090843538,RV,202602,20260223,CAD,1652,CAD,1652,USD,1248.8,0,0
