LastUpdateDT,CALENDAR_DAY,CALENDAR_DAY_STRING,REGION_SRC,TIMEKEEPER_ID,GENDER,PRACTICE_GROUP_CODE,OFFICE_CODE,TEAM_CODE,EMP_GROUP_CODE,EMP_SUB_GROUP_CODE,BAND_GROUP_CODE,BAND_LEVEL_CODE,FTE,EMPLOYMENT_STATUS_CODE,EMPLOYMENT_STATUS_DESC,WORKDAY_FLAG,WEEKEND_FLAG,HOLIDAY_FLAG,CAL_YEAR,CAL_PERIOD,TARGET_HOURS,BILLABLE_HOURS,NON_BILLABLE_HOURS,PRO_BONO_HOURS,FIRM_RELATED_HOURS,LEAVE_HOURS,PART_TIME_HOURS
30/03/2026,21/02/2026,20260221,NRFC,144179,F,DR,VAN1,1754,P,PC,PL,L3,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144190,F,RE,VAN1,2500,A,AA,AS,A1,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144206,F,EL,VAN1,2000,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144228,F,BF,VAN1,1250,L,LA,PU,UF,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144231,F,CS,VAN1,1501,C,CO,OC,O1,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144232,F,RE,VAN1,2500,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144234,F,FN,VAN1,3750,B,BN,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144235,F,BF,VAN1,1250,P,PC,PL,L2,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142210,M,TX,TOR1,2750,A,AB,AS,A5,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142320,,OS,CAL1,4754,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142390,F,IP,TOR1,2253,L,LA,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142456,M,FN,MTR1,3750,B,BT,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142525,,DR,MTR1,1754,L,LA,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,138862,M,IT,TOR1,4000,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,138865,F,OS,CAL1,4752,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,138870,,CS,MTR1,1541,U,UR,PU,U3,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,138871,,KX,TOR1,4252,B,BN,PU,UF,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,138879,,IP,MTR2,2253,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,138886,,CS,TOR1,1501,A,AT,AS,A1,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,138892,,IT,MTR1,4000,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139127,M,FN,MTR1,3750,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139143,M,IT,MTR1,4054,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139153,F,FN,MTR1,3750,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139653,F,DR,QUE1,1754,P,PC,PL,L2,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139668,M,MX,TOR1,4501,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139688,F,FN,MTR1,3750,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139697,F,EL,MTR1,2000,L,LA,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139701,F,BF,MTR1,1250,L,LA,PU,U1,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139735,,CS,TOR1,1501,L,LA,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139744,,IT,MTR1,4000,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139752,,CS,MTR1,1501,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139753,F,PD,TOR1,5001,B,BT,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139779,F,PD,TOR1,5001,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139780,,KX,TOR1,4252,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139787,,IT,MTR1,4000,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139802,,AD,OTT1,3251,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139805,,FN,MTR1,3750,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139809,,IT,MTR1,4000,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139830,,KX,TOR1,4250,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139840,,AD,MTR1,3251,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,139848,,FN,TOR1,3750,B,BN,,,0,0,Withdrawn,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142625,F,DR,MTR1,1754,L,LA,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,20/02/2026,20260220,NRFC,142629,F,FN,MTR1,3750,B,BN,,,1,3,Active,1,0,0,2026,202602,7,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144243,M,CS,VAN1,1501,A,AB,AS,A6,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144245,F,PD,VAN1,5001,B,BM,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144247,F,OS,VAN1,4752,B,BN,,,1,3,Active,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144251,F,TX,VAN1,2750,R,RA,SR,R1,0.8,3,Active,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144269,M,IP,VAN1,2252,A,AB,SR,R1,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144276,F,TX,VAN1,2750,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144285,F,CS,VAN1,1501,P,PC,PL,L3,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144294,F,DR,VAN1,1754,L,LA,,,0,0,Withdrawn,0,1,0,2026,202602,0,0,0,0,0,0,0
30/03/2026,21/02/2026,20260221,NRFC,144303,F,TX,VAN1,2750,F,FF,PA,P1,1,3,Active,0,1,0,2026,202602,0,0,0,0,0,0,0
