Id,ClientId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,ClientCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
60392,10000359,17978.31,2023-02-04 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60393,10000360,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60394,10000361,0,NULL,0,NULL,0,0,0,USD,1,2024-08-10 7:31,2024-08-10 6:15
60395,10000362,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60396,10000363,0,NULL,0,NULL,0,0,0,USD,1,2024-04-14 6:30,2024-04-13 6:16
60397,10000365,0,NULL,0,NULL,0,0,0,USD,1,2023-11-17 6:30,2023-11-17 6:16
60398,10000367,0,NULL,0,NULL,0,0,0,USD,1,2025-01-11 6:31,2025-01-11 6:15
60399,10000369,0,NULL,0,NULL,0,0,0,USD,1,2025-10-31 6:30,2025-10-31 6:16
60400,10000370,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60401,10000371,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60402,10000372,0,NULL,0,NULL,0,0,0,USD,1,2021-06-19 6:31,2021-06-18 6:05
60403,10000373,2010.48,2025-11-10 0:00,5520.61,2025-11-11 0:00,66.54,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60404,10000375,463.98,2018-08-15 0:00,0,NULL,11.71,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60405,10000377,40377.11,2025-11-07 0:00,0,NULL,0,2670,0,USD,1,2025-11-11 6:30,2025-11-11 6:16
60406,10000379,16148.07,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60407,10000380,3619.08,2025-10-17 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60408,10000381,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60409,10000382,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60410,10000383,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60411,10000385,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60412,10000387,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60413,10000389,8556.58,2025-11-07 0:00,13329.78,2025-10-29 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
