Id,MatterId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,MatterCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
1223151,1001368275,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223150,1001368271,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223149,1001368261,3150,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223148,1001368245,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:35,2025-11-12 6:15
1223147,1001368241,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223146,1001368231,31235.41,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-13 6:16
1223145,1001368225,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223144,1001368201,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:35,2025-11-12 6:15
1223143,1001368185,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223142,1001368175,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223141,1001368144,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223140,1001368121,10730.11,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223139,1001368115,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223138,1001368114,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223137,1001368111,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223136,1001368106,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:35,2025-11-12 6:15
1223135,1001368238,914.41,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:41,2025-11-13 6:16
1223134,1001368219,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:45,2025-11-12 6:15
1223133,1001368195,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:39,2025-11-12 6:15
1223132,1001368126,383.37,2025-11-07 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:41,2025-11-13 6:16
1223131,1001368140,212.01,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:03,2025-11-13 6:16
1223130,1001368233,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:43,2025-11-12 6:15
1223129,1001368216,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:02,2025-11-12 6:15
1223128,1001368205,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223127,1001368268,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:59,2025-11-12 6:15
1223126,1001368257,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:43,2025-11-12 6:15
1223125,1001368253,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:58,2025-11-12 6:15
1223124,1001368252,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:45,2025-11-12 6:15
1223123,1001368124,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:01,2025-11-12 6:15
1223122,1001368134,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:44,2025-11-12 6:15
1223121,1001368181,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:01,2025-11-12 6:15
1223120,1001368220,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:45,2025-11-12 6:15
1223119,1001368170,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:58,2025-11-12 6:15
1223118,1001368202,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:42,2025-11-12 6:15
1223117,1001368290,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:57,2025-11-12 6:15
1223116,1001368288,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:45,2025-11-12 6:15
1223115,1001368287,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:58,2025-11-12 6:15
1223114,1001368203,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:42,2025-11-12 6:15
1223113,1001368263,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:57,2025-11-12 6:15
1223112,1001368218,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:44,2025-11-12 6:15
1223111,1001368178,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:58,2025-11-12 6:15
1223110,1001368105,9247.5,2025-10-31 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:02,2025-11-13 6:16
1223109,1001368230,1535.86,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:37,2025-11-13 6:16
1223108,1001368286,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:45,2025-11-12 6:15
1223107,1001368285,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:59,2025-11-12 6:15
1223106,1001368256,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:43,2025-11-12 6:15
1223105,1001368255,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:58,2025-11-12 6:15
1223104,1001368254,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:45,2025-11-12 6:15
1223103,1001368166,768.98,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:38,2025-11-13 6:16
1223102,1001368171,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:42,2025-11-12 6:15
1223101,1001368148,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:56,2025-11-12 6:15
1223100,1001368289,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:45,2025-11-12 6:15
1223099,1001368281,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:58,2025-11-12 6:15
1223098,1001368277,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:41,2025-11-12 6:15
1223097,1001368147,8970,2025-11-08 0:00,0,NULL,0,0,0,USD,1,2025-11-12 6:56,2025-11-12 6:15
1223096,1001368186,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:44,2025-11-12 6:15
1223095,1001368125,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:57,2025-11-12 6:15
